Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,301.19500732421875,301.2135679267739,299.0255388453727,299.96194387916233,59151200
2020-01-03,298.9142150878906,300.0545884148705,297.6996842496835,297.7553094565026,77709700
2020-01-06,300.05450439453125,300.13794218139583,297.01350970744824,297.13404038633706,55653900
2020-01-07,299.21087646484375,299.96184498710954,298.75656625604176,299.4797221772456,40496400
2020-01-08,300.8055114746094,302.0385744306047,299.155231237021,299.40554462982266,68296000
2020-01-09,302.84521484375,302.91940064879424,301.79755962285844,302.39093288883385,48473300
2020-01-10,301.9736328125,303.59610025680854,301.5008186826548,303.43850497805573,53029300
2020-01-13,304.0504455566406,304.05969756061086,302.16838423524933,302.6041338167335,47086800
2020-01-14,303.5868835449219,304.6716032036604,303.0213229716388,303.60541584646273,62832800
2020-01-15,304.27301025390625,305.0425111860947,303.4107912074118,303.4942290222084,72056600
2020-01-16,306.8040466308594,306.8040466308594,305.44117250791817,305.6729536288701,54050300
2020-01-17,307.75897216796875,307.97219268334277,306.7391296153337,307.527191055715,95846000
2020-01-21,307.15643310546875,307.9723074516187,306.71143131200756,306.7855888463833,77742400
2020-01-22,307.1933898925781,308.6860748629666,307.03579459176376,308.02779617917,48914900
2020-01-23,307.5456848144531,307.9629020816574,305.4040298691284,306.53512268691117,51963000
2020-01-24,304.8106689453125,308.2966656305312,303.50342018835545,308.2132278324604,87578400
2020-01-27,299.9246826171875,301.42661931383003,299.14590167424643,299.48893310575295,84062500
2020-01-28,303.0677185058594,303.95775003646014,300.01747120893106,301.37106495453526,63834000
2020-01-29,302.8173828125,304.68091200775257,302.6134143021062,304.4491308956502,53888900
2020-01-30,303.8002014160156,304.013450273243,299.96192004111754,300.7221407582254,75491800
2020-01-31,298.28375244140625,303.32731159381,297.3566280132966,303.1696879918508,113845600
2020-02-03,300.4996643066406,302.3910066865208,299.66525770462334,299.78578844703947,69083000
2020-02-04,305.0796203613281,305.960400053816,303.8372767854383,304.1617760560179,62573200
2020-02-05,308.6026611328125,308.8159099629345,306.57228441815363,308.05566104886026,65951100
2020-02-06,309.6410217285156,309.8357099330959,308.5469934177312,309.5761162291249,50359700
2020-02-07,307.99078369140625,309.6503162476195,307.4345033083513,308.56559637957804,64139400
2020-02-10,310.2900085449219,310.35491404780646,307.0543532223912,307.0914461231243,42070000
2020-02-11,310.82769775390625,312.4594172606482,310.2899498226212,311.66210395413384,54864500
2020-02-12,312.8303527832031,313.0435733045393,311.9124803133696,312.2833244446266,43992700
2020-02-13,312.4965515136719,313.47930112523284,311.10586489803745,311.3839909037277,54501900
2020-02-14,312.99713134765625,313.1176620190006,311.69916314391907,312.9136935660144,64582200
2020-02-18,312.1905822753906,313.06208139916436,310.7813352019239,311.9866137933672,57226200
2020-02-19,313.6832580566406,314.3693210410979,312.88594467401083,313.1733509671533,48814700
2020-02-20,312.3946228027344,313.9614655274482,309.3629074710407,313.12703081262896,74163400
2020-02-21,309.1774597167969,311.3376471518898,308.3430251094574,311.02242824641144,113788200
2020-02-24,298.9234619140625,309.2516130317988,297.82943361740735,299.5909926147371,161088400
2020-02-25,289.865478515625,300.9538799672394,288.97544688943134,300.33272237683167,218913200
2020-02-26,288.7992858886719,294.9275653405686,288.0575975954808,291.28397279381636,194773800
2020-02-27,275.82879638671875,288.8548832240512,275.82879638671875,283.1994185799881,284353500
2020-02-28,274.66986083984375,276.18107801250426,264.7310869708262,267.66080322517865,384975800
2020-03-02,286.56488037109375,286.62978587022843,273.00104573152623,276.4777622675633,238703600
2020-03-03,278.35986328125,290.96876270415356,275.8844565999009,286.9450455893438,300139100
2020-03-04,290.0601806640625,290.28270980148613,281.22468460487516,283.81137008875044,176613400
2020-03-05,280.4180603027344,285.9900874418258,278.1466223190575,282.75443208360537,186366800
2020-03-06,275.7823181152344,277.0061286788715,269.0792291927671,271.78641563448184,228667200
2020-03-09,254.2454376220703,263.47959247295813,253.52228142821048,255.2374396296966,309417300
2020-03-10,267.4012451171875,267.49393492689694,253.56853593613423,263.8967158436713,276444100
2020-03-11,254.3658905029297,261.3935107829603,251.1395150176995,260.243885338209,255316300
2020-03-12,230.02886962890625,247.227032633669,229.63019872133566,237.3438816659417,392220700
2020-03-13,249.693115234375,251.69570705318654,230.40892758534667,243.91712084548442,329566100
2020-03-16,222.3707733154297,238.17823161878607,220.06222867092552,223.60383620910417,297240000
2020-03-17,234.37705993652344,237.50147890148386,219.79339653886174,227.1825652688413,262070500
2020-03-18,222.5098876953125,230.26991550171127,211.4029397622915,219.03317070007324,327597100
2020-03-19,222.98268127441406,229.35203543435006,215.29682632905443,221.81450963937905,289322000
2020-03-20,213.37344360351562,227.98691137437177,213.09366788939272,226.17771121702543,347158800
2020-03-23,207.9178466796875,214.19408009070773,203.54406232495595,212.8045507552266,326025200
2020-03-24,226.75588989257812,227.64184863747488,218.03631124687172,218.61450391829229,235494500
2020-03-25,230.1504669189453,239.06590706452997,223.5851369380366,228.3599223786975,299430300
2020-03-26,243.5889434814453,245.0810428090124,232.25813278042165,232.69644478438633,257632800
2020-03-27,236.33348083496094,243.22521902351355,234.12327958938528,236.19360008396936,224341200
2020-03-30,244.00856018066406,244.73596848763387,236.43604589273016,238.45973456519582,171369500
2020-03-31,240.37152099609375,245.5752837876098,238.9446805161645,242.99205790066983,194881100
2020-04-01,229.5536346435547,240.28759621981686,227.4553381139793,231.2602508618741,189554600
2020-04-02,234.85069274902344,235.6433740707997,228.09883517362218,228.65838664898143,177660400
2020-04-03,231.45606994628906,236.24019000471637,228.68631772614506,233.85278317972373,135561200
2020-04-06,247.00210571289062,248.99783233697417,231.43742170463756,240.45543137793305,188061200
2020-04-07,247.25393676757812,256.4864356164454,247.03012758286806,255.72171628872943,201427200
2020-04-08,255.5538330078125,257.39100910248607,247.36581581316824,249.89308912940618,153774500
2020-04-09,259.44268798828125,262.2404163485001,256.8967449348948,258.86446688746577,189999200
2020-04-13,257.07391357421875,258.79918493331627,253.11046542005838,258.45413635348916,114839100
2020-04-14,264.6557922363281,265.6909380967998,256.93406289185134,262.0352555449032,134143400
2020-04-15,259.0323791503906,264.7956933412649,256.88743677523325,258.85518739235687,121775000
2020-04-16,260.28204345703125,261.1493325604311,257.16724212075775,260.3286608866883,131798300
2020-04-17,267.3135986328125,267.9290737488114,263.3594570351276,266.1385437641655,146684800
2020-04-20,262.6041259765625,267.4535335494662,262.38031679810956,263.55534344495436,100109300
2020-04-21,254.63063049316406,259.2935118022099,253.6793844917386,258.0718391760374,126385700
2020-04-22,260.28204345703125,262.05393268353816,258.23969914259334,259.58261125235987,92951600
2020-04-23,260.26336669921875,264.79570206245927,259.9556290598479,261.5783026237401,104709700
2020-04-24,263.89105224609375,264.57184302427623,259.7224360656363,261.80209095189224,85063200
2020-04-27,267.6960144042969,268.833758623907,265.4298608352278,265.8961489832652,77896600
2020-04-28,266.4649963378906,271.75268722543615,266.1572302676305,271.3983037311806,105270000
2020-04-29,273.44061279296875,274.99802730256994,270.8294112642531,271.87389187573933,118745600
2020-04-30,270.89471435546875,273.54322705040823,269.13213187491306,272.04176473808707,122901700
2020-05-01,263.7232360839844,271.0626063501023,262.5388460753186,266.0733179026497,125180000
2020-05-04,264.45068359375,264.75842126825177,260.31004230425947,261.8114765737513,80873200
2020-05-05,266.8939514160156,269.7476319526153,264.5811524850615,267.31362203726525,79569900
2020-05-06,265.0848083496094,269.0109465308684,264.6464963583546,268.619280429729,73632600
2020-05-07,268.2835388183594,270.24195470870694,267.77063324563557,268.34882598869723,75250400
2020-05-08,272.7225341796875,273.19815705814614,270.3164721050913,271.4635508578603,76452400
2020-05-11,272.7785339355469,274.17739821213945,270.3351888860266,270.76416596205763,79514200
2020-05-12,267.34161376953125,274.40119349845673,267.20170458098124,273.98155131270204,95870800
2020-05-13,262.61346435546875,267.8265619130313,260.15144951971445,266.77274625045317,144721100
2020-05-14,265.7562255859375,265.8867714472554,254.58395310614455,260.1421274300295,121977900
2020-05-15,266.9779357910156,267.02455322093897,262.37100669980106,263.331559127971,111146300
2020-05-18,275.1099853515625,276.74199373924125,272.9650714260289,273.2914503355905,119703800
2020-05-19,272.28424072265625,276.2383542165477,272.2655994465399,274.503776358932,95189300
2020-05-20,276.90985107421875,277.78647500066535,275.64156107168105,275.8747051274388,85861700
2020-05-21,274.9980773925781,277.5999729875924,273.8883094257428,276.7793013690956,78293900
2020-05-22,275.52032470703125,275.6975164681969,273.450004330225,274.7089879374664,63958200
2020-05-26,278.9149169921875,281.81524418534843,275.53899522224816,281.57276523171595,88951400
2020-05-27,283.0648193359375,283.1021303483111,276.8538591640487,281.7498836344149,104817400
2020-05-28,282.5426025390625,286.1516677528395,281.8618116913607,284.1093236697002,90405200
2020-05-29,283.80157470703125,284.3984086310391,279.2785747846173,282.06696830607984,119090800
2020-06-01,284.9486389160156,285.5641426067737,282.6265333472205,283.14877372847593,55758300
2020-06-02,287.30804443359375,287.35469031653145,284.52898575324014,285.88120407905984,74267200
2020-06-03,291.1315612792969,292.1014482628659,289.04260020080375,289.3223616095447,92567600
2020-06-04,290.36688232421875,291.89632079684446,288.2406099437138,290.1337382980232,75794400
2020-06-05,297.80889892578125,299.60876427400115,295.7758895129743,295.84117668145115,150524700
2020-06-08,301.4085998535156,301.6044328611448,298.07929642400245,298.6295128949362,73641200
2020-06-09,299.1611022949219,301.48320773267557,297.82749681022113,298.7041206421371,77479200
2020-06-10,297.4918518066406,300.6532992530836,296.764443401437,299.74869906687144,95000800
2020-06-11,280.341796875,291.10373722655805,279.78227376519334,290.4602571903053,209243600
2020-06-12,283.6990051269531,288.2406467841215,278.4672661712322,287.45728617117777,194678900
2020-06-15,286.34759521484375,287.49467452448494,276.7327340360678,277.92643078546075,135782700
2020-06-16,291.8590393066406,294.3583651498472,286.92573170449174,294.20914954279255,137627500
2020-06-17,290.6466979980469,293.1926412353925,289.90061997210125,292.8942100250143,83398900
2020-06-18,290.75860595703125,291.24353533454155,288.64166823255516,289.10795633168823,80828700
2020-06-19,289.0969543457031,294.47348887128004,287.12054450757995,294.276794057839,135549600
2020-06-22,290.9515380859375,291.3543036269551,287.32659104636923,288.4880651033334,74649400
2020-06-23,292.2910461425781,294.58592407582245,291.8789045661162,293.63986792277876,68471200
2020-06-24,284.8350524902344,290.8485514007504,282.97106821028643,290.22096314675923,132813500
2020-06-25,287.8885803222656,288.1602255040483,282.2029263238514,284.2542576439699,89468000
2020-06-26,281.05084228515625,286.9894190568023,280.4607578553267,286.77397235101216,127961000
